job_title,experience_level,employment_type,company_size,company_location,employee_residence,industry,remote_ratio,years_experience,education_level
Data Analyst,Lead,Part-time,S,IN,AU,Finance,0,14.4,Bachelors
Research Scientist,Senior,Full-time,L,US,US,Retail,50,7.6,Masters
Machine Learning Engineer,Entry,Full-time,M,US,US,Government,0,0.0,Bootcamp
Data Engineer,Senior,Full-time,M,BR,IN,Government,100,9.7,Masters
Data Engineer,Mid,Full-time,M,US,US,Education,0,3.2,Bachelors
Analytics Engineer,Senior,Full-time,M,SG,SG,Finance,100,11.6,Masters
Business Intelligence Analyst,Senior,Full-time,M,US,US,Technology,0,9.8,Bachelors
Data Analyst,Entry,Full-time,M,US,US,Retail,0,1.4,Masters
Research Scientist,Mid,Full-time,M,AU,AU,Finance,0,2.2,Masters
Data Engineer,Entry,Part-time,L,GB,GB,Healthcare,0,2.8,Self-taught
Data Science Manager,Senior,Full-time,M,US,US,Healthcare,0,9.5,Bachelors
Computer Vision Engineer,Mid,Contract,L,GB,GB,Technology,0,6.6,Bachelors
Research Scientist,Lead,Full-time,M,IN,DE,Consulting,100,14.1,Masters
Analytics Engineer,Entry,Full-time,L,US,US,Healthcare,50,4.0,Bachelors
Machine Learning Engineer,Mid,Freelance,L,FR,FR,Technology,50,6.9,Masters
LLM Engineer,Entry,Full-time,M,DE,DE,Healthcare,0,1.5,Masters
Machine Learning Engineer,Entry,Full-time,L,US,US,Technology,0,0.1,Masters
Data Engineer,Mid,Full-time,L,US,US,Media,50,9.0,Self-taught
Data Analyst,Entry,Contract,S,PL,PL,Consulting,0,2.8,Bachelors
Data Analyst,Mid,Full-time,S,PL,PL,Retail,50,4.6,Bachelors
Machine Learning Engineer,Senior,Full-time,L,US,IN,Technology,100,9.1,Masters
Machine Learning Engineer,Mid,Full-time,M,GB,GB,Retail,50,6.3,Masters
Research Scientist,Entry,Full-time,M,IN,IN,Manufacturing,50,4.6,PhD
Data Scientist,Entry,Full-time,M,IN,IN,Technology,100,1.1,Bachelors
Machine Learning Engineer,Entry,Freelance,L,US,US,Energy,100,0.1,Bachelors
Data Engineer,Senior,Full-time,S,IN,IN,Technology,50,11.4,Masters
Data Analyst,Mid,Full-time,M,DE,DE,Manufacturing,100,3.9,Bachelors
AI Engineer,Lead,Full-time,L,US,US,Finance,100,15.9,Bachelors
Machine Learning Engineer,Mid,Full-time,M,GB,GB,Education,100,3.3,Bachelors
Data Engineer,Senior,Full-time,M,US,US,Education,0,10.1,Bootcamp
Data Analyst,Senior,Full-time,M,PL,PL,Energy,50,6.5,Bachelors
Business Intelligence Analyst,Senior,Full-time,M,IN,IN,Finance,50,11.2,Bachelors
Analytics Engineer,Senior,Full-time,L,IN,IN,Healthcare,0,11.2,Bootcamp
AI Engineer,Mid,Full-time,S,IN,IN,Finance,0,6.2,Bootcamp
Data Engineer,Entry,Full-time,M,US,GB,Media,50,0.1,Masters
Computer Vision Engineer,Entry,Full-time,M,NL,US,Retail,50,0.3,Self-taught
AI Engineer,Mid,Full-time,M,IN,IN,Technology,0,7.2,Bachelors
Machine Learning Engineer,Lead,Full-time,S,IN,IN,Media,100,11.3,Masters
Business Intelligence Analyst,Mid,Part-time,M,US,US,Finance,0,6.3,Bachelors
Data Engineer,Lead,Full-time,L,FR,FR,Technology,100,15.0,Bachelors
MLOps Engineer,Mid,Full-time,L,NL,NL,Government,100,5.8,Self-taught
Data Engineer,Executive,Full-time,M,IN,US,Technology,100,17.3,Masters
Data Analyst,Lead,Full-time,L,AU,AU,Media,100,14.0,PhD
MLOps Engineer,Entry,Full-time,S,PL,PL,Education,50,3.0,Masters
Data Analyst,Senior,Full-time,M,US,US,Technology,0,11.4,PhD
Machine Learning Engineer,Lead,Full-time,M,IN,US,Finance,100,11.3,PhD
AI Engineer,Mid,Contract,M,CA,US,Consulting,100,5.6,Self-taught
Data Analyst,Mid,Contract,M,IN,IN,Media,0,6.5,Bachelors
MLOps Engineer,Senior,Full-time,M,BR,BR,Technology,0,7.2,PhD
AI Engineer,Senior,Full-time,L,GB,GB,Technology,100,10.1,Masters
AI Engineer,Senior,Full-time,S,US,US,Healthcare,0,10.3,Masters
Data Engineer,Entry,Full-time,M,BR,BR,Finance,0,0.7,Bachelors
Machine Learning Engineer,Lead,Freelance,L,US,US,Retail,0,12.5,PhD
Machine Learning Engineer,Entry,Full-time,S,US,US,Finance,0,0.4,Masters
Machine Learning Engineer,Mid,Full-time,L,CA,CA,Technology,0,5.8,Bachelors
Research Scientist,Senior,Full-time,M,BR,BR,Consulting,100,9.5,Masters
AI Engineer,Mid,Full-time,M,US,US,Technology,0,4.2,Bachelors
Machine Learning Engineer,Lead,Full-time,L,AU,AU,Energy,0,14.7,PhD
Data Scientist,Mid,Full-time,M,US,US,Healthcare,0,5.3,Bachelors
